epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.07053,1.41822,3.45606,1.95193,0.00802,1,0.05907,0.03334,1.49847,4.42357,2.67031,0,0,0
2,5.65069,1.69128,3.4418,2.08067,0.00783,1,0.05934,0.03341,1.49831,4.32391,2.63102,1.6505e-05,1.6505e-05,1.6505e-05
3,8.24162,1.60702,3.501,1.9527,0.00767,1,0.0592,0.03857,1.4052,4.32406,2.52902,3.26799e-05,3.26799e-05,3.26799e-05
4,10.6797,1.36394,3.27768,1.72778,0.00528,0.66667,0.04839,0.0353,1.37137,4.36834,2.39221,4.85247e-05,4.85247e-05,4.85247e-05
5,13.1232,1.33325,3.15558,1.70928,0.00785,1,0.06351,0.03214,1.32668,4.3613,2.21208,6.40395e-05,6.40395e-05,6.40395e-05
6,15.5699,0.97431,3.3772,1.50031,0.00759,1,0.11563,0.05977,1.19475,4.4137,1.86566,7.92242e-05,7.92242e-05,7.92242e-05
7,18.0391,0.98892,2.9686,1.39234,0.00739,1,0.18656,0.1309,0.95075,3.81563,1.41229,9.40788e-05,9.40788e-05,9.40788e-05
8,21.0878,0.93419,2.85039,1.30533,0.00706,1,0.21321,0.17601,0.77122,3.67772,1.29242,0.000108603,0.000108603,0.000108603
9,23.74,0.85008,2.70886,1.14317,0.00662,1,0.50933,0.31174,0.80651,3.67515,1.28845,0.000122798,0.000122798,0.000122798
10,26.3696,0.87561,2.49443,1.1321,0.00638,1,0.365,0.27375,0.95278,3.60278,1.34914,0.000136662,0.000136662,0.000136662
11,29.0532,0.8253,2.29583,1.30466,0.00604,1,0.597,0.33914,1.03519,3.52901,1.47106,0.000150197,0.000150197,0.000150197
12,31.7677,0.74722,2.07911,1.07364,0.00601,1,0.753,0.51156,1.03614,3.44109,1.58116,0.000163401,0.000163401,0.000163401
13,34.556,0.68251,1.96524,0.99738,0.0058,1,0.753,0.57949,0.86007,3.5325,1.39508,0.000176275,0.000176275,0.000176275
14,37.7463,0.62771,1.77918,0.9854,0.00602,1,0.9125,0.69831,0.98966,3.37815,1.5486,0.000188819,0.000188819,0.000188819
