epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5767,0.37514,0.26894,0.88277,0.99556,0.99665,0.99496,0.94874,0.36564,0.16714,0.82666,0.000410539,0.000410539,0.000410539
2,47.8067,0.37931,0.23466,0.8784,0.99238,0.99275,0.99323,0.94619,0.38781,0.196,0.84337,0.000819017,0.000819017,0.000819017
3,69.133,0.40594,0.25534,0.88618,0.98136,0.99321,0.987,0.92927,0.41179,0.23135,0.83915,0.00121924,0.00121924,0.00121924
4,90.7935,0.41235,0.26789,0.89256,0.5718,0.99651,0.96122,0.90448,0.45697,0.98021,0.88909,0.00121287,0.00121287,0.00121287
5,112.2,0.42729,0.27692,0.89274,0.98363,0.99275,0.99283,0.91539,0.4223,0.24719,0.854,0.0012005,0.0012005,0.0012005
6,134.394,0.42122,0.27691,0.88937,0.85255,0.91667,0.88983,0.8366,0.43414,0.53657,0.85211,0.00118812,0.00118812,0.00118812
7,154.973,0.41653,0.26734,0.88794,0.99191,0.99521,0.99469,0.93315,0.40353,0.22545,0.83315,0.00117575,0.00117575,0.00117575
8,175.591,0.41166,0.26456,0.88542,0.98802,0.99173,0.99292,0.93517,0.42551,0.24652,0.84687,0.00116337,0.00116337,0.00116337
9,196.383,0.40256,0.26347,0.88406,0.94241,0.95563,0.97166,0.90846,0.44729,0.3359,0.86726,0.001151,0.001151,0.001151
10,216.842,0.4105,0.26598,0.89037,0.99128,0.99521,0.99374,0.9225,0.46446,0.24016,0.87619,0.00113863,0.00113863,0.00113863
11,237.254,0.39963,0.25704,0.88691,0.98627,0.98995,0.99135,0.93675,0.40457,0.21014,0.83572,0.00112625,0.00112625,0.00112625
12,258.181,0.39688,0.25058,0.88066,0.99289,0.97578,0.98908,0.91605,0.46792,0.25509,0.87986,0.00111388,0.00111388,0.00111388
13,278.675,0.39101,0.25438,0.88362,0.95607,0.98913,0.97923,0.92565,0.43205,0.26775,0.85511,0.0011015,0.0011015,0.0011015
14,299.022,0.3884,0.24799,0.87785,0.98863,0.98988,0.99211,0.93077,0.42396,0.21671,0.853,0.00108913,0.00108913,0.00108913
15,319.268,0.39552,0.24538,0.88302,0.99476,0.99555,0.99271,0.93903,0.40657,0.20377,0.84674,0.00107675,0.00107675,0.00107675
16,339.257,0.38452,0.24753,0.88237,0.98036,0.99094,0.99335,0.94434,0.38506,0.2212,0.82984,0.00106437,0.00106437,0.00106437
17,359.359,0.38052,0.24704,0.87635,0.98988,0.9796,0.99117,0.93726,0.4211,0.22202,0.84406,0.001052,0.001052,0.001052
18,379.568,0.37978,0.24488,0.87604,0.98953,0.99602,0.99098,0.92914,0.43514,0.215,0.85294,0.00103962,0.00103962,0.00103962
19,399.644,0.38641,0.24582,0.87509,0.99114,0.99608,0.99173,0.92263,0.44911,0.21724,0.86386,0.00102725,0.00102725,0.00102725
20,419.757,0.37064,0.23761,0.87457,0.95896,0.99649,0.98244,0.92748,0.45099,0.2572,0.87261,0.00101488,0.00101488,0.00101488
21,439.849,0.37838,0.24422,0.87312,0.99175,0.99295,0.99472,0.9249,0.49566,0.23492,0.89132,0.0010025,0.0010025,0.0010025
22,460.375,0.37123,0.23745,0.87725,0.98417,0.98763,0.99097,0.93928,0.43384,0.23463,0.86045,0.000990125,0.000990125,0.000990125
23,480.657,0.37285,0.23703,0.87422,0.98606,0.97579,0.99202,0.93635,0.44165,0.25053,0.86726,0.00097775,0.00097775,0.00097775
