epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,500.879,0.36449,0.23257,0.8696,0.9928,0.99439,0.99342,0.94452,0.40627,0.20221,0.84771,0.000965375,0.000965375,0.000965375
25,521.029,0.35577,0.22776,0.86996,0.94963,0.98007,0.95903,0.89423,0.45069,0.29464,0.86296,0.000953,0.000953,0.000953
26,541.126,0.36215,0.22335,0.87421,0.98965,0.99638,0.99145,0.94022,0.40817,0.20493,0.83962,0.000940625,0.000940625,0.000940625
27,562.46,0.35766,0.22656,0.87009,0.98282,0.99411,0.99411,0.93811,0.42018,0.22093,0.85054,0.00092825,0.00092825,0.00092825
28,582.561,0.35704,0.22622,0.86885,0.97135,0.9881,0.99181,0.94131,0.4165,0.23253,0.85122,0.000915875,0.000915875,0.000915875
29,602.669,0.35314,0.22421,0.8688,0.95778,1,0.98725,0.94065,0.41762,0.24748,0.84301,0.0009035,0.0009035,0.0009035
30,622.741,0.35593,0.22508,0.86832,0.95884,0.9989,0.99159,0.94455,0.40395,0.22983,0.83611,0.000891125,0.000891125,0.000891125
31,642.887,0.35158,0.22194,0.86962,0.99336,0.99638,0.99151,0.94081,0.41227,0.19844,0.8408,0.00087875,0.00087875,0.00087875
32,662.999,0.35531,0.22628,0.86773,0.97688,0.99081,0.98993,0.93503,0.42274,0.21183,0.85408,0.000866375,0.000866375,0.000866375
33,683.032,0.34612,0.22206,0.86447,0.99143,0.99377,0.99289,0.93922,0.41668,0.19695,0.84712,0.000854,0.000854,0.000854
34,703.133,0.34767,0.22213,0.86754,0.95486,0.99702,0.99082,0.93437,0.41303,0.22791,0.84514,0.000841625,0.000841625,0.000841625
35,723.331,0.34181,0.2191,0.86729,0.96622,0.99761,0.99244,0.94914,0.39251,0.207,0.83299,0.00082925,0.00082925,0.00082925
36,743.409,0.3354,0.21313,0.86482,0.96126,1,0.98886,0.93714,0.41829,0.22348,0.8532,0.000816875,0.000816875,0.000816875
37,763.564,0.3309,0.21175,0.86154,0.93123,0.9692,0.96362,0.90805,0.42919,0.33602,0.85805,0.0008045,0.0008045,0.0008045
38,783.71,0.34286,0.21514,0.86536,0.97315,0.99812,0.99362,0.94282,0.42602,0.21668,0.85897,0.000792125,0.000792125,0.000792125
39,803.774,0.33424,0.21163,0.86489,0.95845,0.99275,0.9805,0.92831,0.40066,0.2308,0.84775,0.00077975,0.00077975,0.00077975
40,823.957,0.3275,0.20139,0.85867,0.98435,0.99621,0.993,0.93756,0.41516,0.20148,0.85262,0.000767375,0.000767375,0.000767375
41,844.07,0.33259,0.20586,0.85929,0.93577,0.9342,0.97461,0.91292,0.47561,0.34877,0.88586,0.000755,0.000755,0.000755
42,864.211,0.32708,0.21132,0.86021,0.95584,0.98732,0.96727,0.90999,0.43335,0.25303,0.85497,0.000742625,0.000742625,0.000742625
43,884.514,0.32577,0.20247,0.8586,0.96518,0.9948,0.98348,0.93445,0.39762,0.22867,0.84458,0.00073025,0.00073025,0.00073025
44,904.56,0.31965,0.2036,0.85967,0.95884,0.99537,0.98156,0.93144,0.41137,0.2242,0.84424,0.000717875,0.000717875,0.000717875
45,924.698,0.32683,0.20509,0.85902,0.98724,0.99566,0.99086,0.94167,0.42043,0.21401,0.86341,0.0007055,0.0007055,0.0007055
46,944.858,0.32223,0.20099,0.85962,0.97654,0.99654,0.99076,0.93549,0.42625,0.20744,0.86148,0.000693125,0.000693125,0.000693125
47,965.044,0.32441,0.20402,0.85933,0.96683,0.99825,0.98576,0.93863,0.42332,0.22233,0.85852,0.00068075,0.00068075,0.00068075
48,985.122,0.3148,0.20221,0.85705,0.98326,0.98911,0.99311,0.94072,0.41095,0.20226,0.85217,0.000668375,0.000668375,0.000668375
49,1005.19,0.31525,0.19526,0.85669,0.9526,0.97412,0.94952,0.89876,0.43087,0.29923,0.85817,0.000656,0.000656,0.000656
50,1025.34,0.31438,0.19812,0.8599,0.96735,0.98551,0.99008,0.93505,0.41168,0.22244,0.85233,0.000643625,0.000643625,0.000643625
51,1045.52,0.30696,0.19187,0.85687,0.98346,0.99638,0.99072,0.9386,0.42485,0.20031,0.85353,0.00063125,0.00063125,0.00063125
52,1065.65,0.30627,0.19118,0.85627,0.97324,0.99347,0.98964,0.93863,0.42098,0.21933,0.85788,0.000618875,0.000618875,0.000618875
53,1085.75,0.30047,0.19036,0.85006,0.96252,0.99664,0.98599,0.93489,0.42403,0.22367,0.86526,0.0006065,0.0006065,0.0006065
54,1105.84,0.30685,0.19369,0.85467,0.95477,0.99544,0.97032,0.91506,0.45343,0.25004,0.87412,0.000594125,0.000594125,0.000594125
55,1125.91,0.30869,0.19293,0.85504,0.99182,0.99269,0.99138,0.9314,0.44379,0.20595,0.87297,0.00058175,0.00058175,0.00058175
56,1146.08,0.30706,0.19057,0.85579,0.96569,0.99958,0.992,0.94454,0.4186,0.22348,0.86364,0.000569375,0.000569375,0.000569375
57,1166.19,0.3007,0.18835,0.85433,0.96556,0.97782,0.98336,0.93648,0.41013,0.2348,0.8621,0.000557,0.000557,0.000557
58,1186.28,0.30765,0.18724,0.85711,0.9625,0.98007,0.9805,0.93098,0.42486,0.24084,0.86438,0.000544625,0.000544625,0.000544625
59,1206.41,0.2918,0.18392,0.84827,0.98245,0.99683,0.99396,0.94003,0.44417,0.19487,0.8712,0.00053225,0.00053225,0.00053225
60,1226.4,0.30033,0.19182,0.8542,0.98267,0.97649,0.99203,0.94738,0.40605,0.21692,0.84942,0.000519875,0.000519875,0.000519875
61,1246.43,0.28949,0.18169,0.85318,0.96924,0.99778,0.99236,0.94318,0.43903,0.20596,0.8728,0.0005075,0.0005075,0.0005075
62,1266.56,0.29509,0.18279,0.857,0.98017,0.98504,0.99237,0.94181,0.41377,0.20479,0.85409,0.000495125,0.000495125,0.000495125
63,1286.57,0.2932,0.18133,0.85128,0.98226,0.99613,0.99458,0.94524,0.4181,0.19066,0.85548,0.00048275,0.00048275,0.00048275
64,1306.71,0.29352,0.18189,0.85121,0.96714,0.99919,0.99122,0.94067,0.41849,0.21393,0.86,0.000470375,0.000470375,0.000470375
65,1327.09,0.28912,0.17934,0.84857,0.96421,0.98985,0.98789,0.93591,0.4267,0.23424,0.85377,0.000458,0.000458,0.000458
66,1347.28,0.29384,0.18058,0.854,0.97385,0.99638,0.99269,0.94736,0.40768,0.20659,0.84582,0.000445625,0.000445625,0.000445625
67,1367.58,0.2819,0.17491,0.85059,0.97338,0.99819,0.99166,0.94228,0.40887,0.2021,0.85096,0.00043325,0.00043325,0.00043325
68,1387.84,0.28411,0.17467,0.8497,0.99096,0.99563,0.99451,0.94512,0.41835,0.18461,0.86178,0.000420875,0.000420875,0.000420875
69,1408.07,0.27816,0.1728,0.84731,0.97998,0.99405,0.98836,0.94208,0.41456,0.19851,0.85284,0.0004085,0.0004085,0.0004085
70,1428.25,0.28245,0.17453,0.84715,0.97618,0.99819,0.99184,0.94276,0.40679,0.18717,0.85114,0.000396125,0.000396125,0.000396125
71,1448.64,0.28076,0.17544,0.85073,0.97747,0.99819,0.99404,0.93918,0.4285,0.19528,0.85323,0.00038375,0.00038375,0.00038375
72,1469.17,0.28001,0.17221,0.84869,0.96915,1,0.98432,0.9382,0.41282,0.20296,0.8523,0.000371375,0.000371375,0.000371375
73,1489.4,0.26864,0.16648,0.84543,0.98383,0.99789,0.99429,0.94624,0.40138,0.18316,0.84783,0.000359,0.000359,0.000359
74,1509.6,0.26962,0.16384,0.8461,0.97583,0.9962,0.98144,0.93596,0.41984,0.22101,0.85987,0.000346625,0.000346625,0.000346625
75,1529.89,0.27239,0.16842,0.84682,0.97476,0.99931,0.99379,0.9473,0.41294,0.19858,0.85158,0.00033425,0.00033425,0.00033425
76,1549.97,0.27131,0.16998,0.846,0.97859,0.99819,0.99315,0.94929,0.40297,0.18944,0.85485,0.000321875,0.000321875,0.000321875
77,1570.21,0.27481,0.16628,0.84832,0.97712,0.99687,0.99223,0.94188,0.42886,0.2039,0.86277,0.0003095,0.0003095,0.0003095
78,1590.6,0.2602,0.16105,0.84199,0.97313,0.99986,0.99134,0.9435,0.41159,0.19837,0.85071,0.000297125,0.000297125,0.000297125
79,1610.73,0.25997,0.15965,0.84202,0.98716,0.99819,0.9948,0.94948,0.41655,0.17917,0.85795,0.00028475,0.00028475,0.00028475
80,1630.83,0.2613,0.15976,0.84839,0.96971,0.99742,0.98984,0.94682,0.38922,0.20211,0.8428,0.000272375,0.000272375,0.000272375
81,1651.04,0.25543,0.15838,0.84252,0.97128,0.98718,0.99004,0.94439,0.40351,0.21281,0.847,0.00026,0.00026,0.00026
82,1671.38,0.26207,0.16249,0.84168,0.96303,0.99806,0.98694,0.94303,0.39505,0.20888,0.84138,0.000247625,0.000247625,0.000247625
83,1691.5,0.26128,0.16177,0.84167,0.96833,0.99951,0.98875,0.94634,0.39187,0.19971,0.83904,0.00023525,0.00023525,0.00023525
84,1711.6,0.2538,0.15346,0.84152,0.9719,0.99842,0.99342,0.94798,0.41713,0.18213,0.85223,0.000222875,0.000222875,0.000222875
85,1731.76,0.25086,0.15299,0.83691,0.97724,0.985,0.99088,0.94658,0.40146,0.19682,0.84334,0.0002105,0.0002105,0.0002105
86,1752.09,0.25401,0.15588,0.8449,0.98141,0.99457,0.99323,0.94872,0.40144,0.186,0.84358,0.000198125,0.000198125,0.000198125
87,1772.28,0.24709,0.15178,0.84036,0.96873,0.99754,0.99101,0.94729,0.40149,0.19265,0.84188,0.00018575,0.00018575,0.00018575
88,1792.39,0.25362,0.15846,0.84251,0.96331,0.99275,0.98371,0.93885,0.41329,0.20881,0.85099,0.000173375,0.000173375,0.000173375
89,1812.53,0.24936,0.15233,0.84131,0.96196,0.99819,0.98766,0.94245,0.41743,0.2083,0.85162,0.000161,0.000161,0.000161
90,1832.55,0.24701,0.15072,0.84242,0.97378,0.97947,0.99019,0.94685,0.40066,0.20624,0.84561,0.000148625,0.000148625,0.000148625
91,1876.71,0.22149,0.12819,0.79423,0.97055,0.97934,0.98759,0.93629,0.4239,0.22077,0.86221,0.00013625,0.00013625,0.00013625
92,1896.97,0.21183,0.12239,0.79161,0.97296,0.97604,0.98338,0.93257,0.41519,0.22816,0.85504,0.000123875,0.000123875,0.000123875
93,1917.09,0.20995,0.12029,0.79011,0.97135,0.99736,0.99301,0.9402,0.41939,0.18566,0.853,0.0001115,0.0001115,0.0001115
94,1937.14,0.20647,0.11675,0.78762,0.97085,0.99716,0.99323,0.94276,0.41996,0.18146,0.85564,9.9125e-05,9.9125e-05,9.9125e-05
95,1957.22,0.20552,0.11648,0.78714,0.97198,0.99745,0.99244,0.94001,0.42772,0.18864,0.86006,8.675e-05,8.675e-05,8.675e-05
96,1977.58,0.20307,0.11599,0.79332,0.97075,0.99638,0.99278,0.94364,0.42165,0.1843,0.85678,7.4375e-05,7.4375e-05,7.4375e-05
97,1997.67,0.19871,0.11238,0.79422,0.97726,0.99782,0.99368,0.94359,0.4154,0.17449,0.85339,6.2e-05,6.2e-05,6.2e-05
98,2017.62,0.19856,0.11111,0.78971,0.98387,0.98651,0.99342,0.94249,0.41475,0.18025,0.85264,4.9625e-05,4.9625e-05,4.9625e-05
99,2037.7,0.19388,0.10965,0.78785,0.97889,0.99094,0.9932,0.94438,0.41425,0.18095,0.85386,3.725e-05,3.725e-05,3.725e-05
100,2057.69,0.19603,0.10863,0.78919,0.9814,0.98461,0.99242,0.94445,0.41643,0.1866,0.85496,2.4875e-05,2.4875e-05,2.4875e-05
